1, State-gov,77516, Bachelors,13, Adm-clerical,2174,0,40, <=50K
8901, Private,172612, HS-grad,9, Craft-repair,0,0,40, <=50K
8902, Private,141186, Some-college,10, Other-service,0,0,40, <=50K
8903, Private,228190, HS-grad,9, Transport-moving,0,0,40, <=50K
8904, Self-emp-inc,190290, Bachelors,13, Sales,0,0,40, >50K
8905, Federal-gov,307404, Some-college,10, Adm-clerical,0,0,40, <=50K
8906, Private,152436, HS-grad,9, Adm-clerical,0,0,50, <=50K
8907, Self-emp-not-inc,182541, HS-grad,9, Farming-fishing,0,1672,50, <=50K
8908, Private,282153, Some-college,10, Adm-clerical,0,0,20, <=50K
8909, ?,41281, Bachelors,13, ?,0,0,50, <=50K
8910, Private,162003, Doctorate,16, Prof-specialty,0,0,36, >50K
8911, Private,190759, Bachelors,13, Prof-specialty,0,0,45, >50K
8912, Private,208122, Some-college,10, Handlers-cleaners,0,0,45, <=50K
8913, Private,173832, Bachelors,13, Sales,0,1902,40, >50K
8914, Private,129173, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
8915, Private,287548, Some-college,10, Sales,0,0,55, >50K
8916, Private,216116, HS-grad,9, Adm-clerical,0,0,40, <=50K
8917, Private,146706, Some-college,10, Other-service,0,0,30, <=50K
8918, Private,285200, HS-grad,9, Craft-repair,0,0,40, <=50K
8919, Self-emp-inc,314375, Some-college,10, Sales,0,0,60, >50K
8920, Private,203943, Bachelors,13, Exec-managerial,0,0,35, >50K
8921, ?,274746, HS-grad,9, ?,0,0,20, <=50K
8922, Private,517000, Bachelors,13, Adm-clerical,0,0,35, <=50K
8923, Private,66173, Bachelors,13, Adm-clerical,0,0,50, <=50K
8924, Private,182823, Bachelors,13, Sales,0,0,30, <=50K
8925, Private,159479, HS-grad,9, Transport-moving,0,0,55, <=50K
8926, Private,135568, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
8927, Private,333676, HS-grad,9, Farming-fishing,0,0,50, <=50K
8928, Private,201699, Assoc-voc,11, Machine-op-inspct,0,0,40, >50K
8929, Private,96020, Bachelors,13, Exec-managerial,0,0,50, >50K
8930, Private,176138, Bachelors,13, Exec-managerial,0,0,50, <=50K
8931, Private,47496, HS-grad,9, Craft-repair,0,0,42, <=50K
8932, Private,187158, Some-college,10, Adm-clerical,0,0,15, <=50K
8933, Private,249727, Some-college,10, Transport-moving,0,0,20, <=50K
8934, Self-emp-not-inc,237624, 7th-8th,4, Craft-repair,0,0,10, <=50K
8935, Private,175254, Some-college,10, Transport-moving,0,0,40, <=50K
8936, Self-emp-not-inc,42924, Some-college,10, Sales,0,0,50, <=50K
8937, Private,205950, Some-college,10, Machine-op-inspct,0,0,40, >50K
8938, Private,111985, Some-college,10, Craft-repair,0,0,58, <=50K
8939, Private,167476, Some-college,10, Machine-op-inspct,0,0,50, <=50K
8940, Private,221172, Assoc-acdm,12, Exec-managerial,0,0,50, >50K
8941, ?,188711, Some-college,10, ?,0,0,30, <=50K
8942, Private,199448, Assoc-voc,11, Sales,0,0,40, <=50K
8943, Private,313038, HS-grad,9, Craft-repair,0,0,40, <=50K
8944, Private,148431, HS-grad,9, Adm-clerical,0,0,40, <=50K
8945, Private,112432, HS-grad,9, Handlers-cleaners,0,0,58, <=50K
8946, Private,57914, HS-grad,9, Protective-serv,0,0,40, <=50K
8947, Private,145166, HS-grad,9, Adm-clerical,0,0,50, <=50K
8948, Private,247119, 7th-8th,4, Machine-op-inspct,0,0,40, <=50K
8949, Private,196278, Some-college,10, Sales,0,0,40, <=50K
8950, ?,366531, Assoc-voc,11, ?,0,0,40, <=50K
8951, Private,216481, Bachelors,13, Prof-specialty,0,0,40, <=50K
8952, Private,188027, Some-college,10, Exec-managerial,0,0,45, <=50K
8953, Private,66686, HS-grad,9, Transport-moving,0,0,40, >50K
8954, Private,74775, Bachelors,13, Other-service,0,0,30, <=50K
8955, ?,325537, Assoc-voc,11, ?,0,0,50, >50K
8956, Self-emp-not-inc,250499, Some-college,10, Adm-clerical,0,0,55, >50K
8957, Self-emp-not-inc,192869, HS-grad,9, Farming-fishing,0,0,72, <=50K
8958, Self-emp-inc,121352, Some-college,10, Exec-managerial,0,0,50, <=50K
8959, Self-emp-not-inc,70985, HS-grad,9, Farming-fishing,4064,0,40, <=50K
8960, Self-emp-not-inc,123116, HS-grad,9, Transport-moving,0,0,40, <=50K
8961, Local-gov,339163, Some-college,10, Adm-clerical,0,0,40, <=50K
8962, Self-emp-not-inc,124771, Bachelors,13, Farming-fishing,0,0,30, <=50K
8963, Private,167531, Prof-school,15, Prof-specialty,15024,0,50, >50K
8964, ?,77053, HS-grad,9, ?,0,4356,40, <=50K
8965, Private,199266, Bachelors,13, Exec-managerial,0,0,30, <=50K
8966, Private,190728, HS-grad,9, Adm-clerical,0,0,40, <=50K
8967, Private,99212, Assoc-voc,11, Exec-managerial,3103,0,48, >50K
8968, Local-gov,421446, Bachelors,13, Exec-managerial,0,0,50, >50K
8969, Private,215944, 9th,5, Sales,0,0,25, <=50K
8970, Private,72310, Some-college,10, Sales,0,0,43, <=50K
8971, Private,57512, Some-college,10, Sales,0,0,45, <=50K
8972, Private,89413, Assoc-voc,11, Craft-repair,0,0,40, <=50K
8973, Local-gov,28151, HS-grad,9, Adm-clerical,0,0,40, >50K
8974, Private,46786, Bachelors,13, Sales,9386,0,15, >50K
8975, Private,226943, HS-grad,9, Adm-clerical,0,0,35, <=50K
8976, Private,182402, HS-grad,9, Craft-repair,0,0,40, >50K
8977, Private,305352, 10th,6, Craft-repair,0,0,40, <=50K
8978, Self-emp-inc,189253, Some-college,10, Exec-managerial,0,0,45, >50K
8979, Private,296485, 5th-6th,3, Transport-moving,0,0,40, <=50K
8980, Self-emp-not-inc,204375, Prof-school,15, Prof-specialty,0,0,60, >50K
8981, Self-emp-not-inc,249585, 11th,7, Exec-managerial,0,0,65, <=50K
8982, Private,148995, Masters,14, Exec-managerial,0,0,65, >50K
8983, Self-emp-inc,168071, HS-grad,9, Sales,0,0,43, >50K
8984, Private,194995, 5th-6th,3, Craft-repair,0,0,45, <=50K
8985, Private,211049, Some-college,10, Tech-support,4101,0,40, <=50K
8986, ?,196630, Assoc-voc,11, ?,0,0,40, <=50K
8987, Private,50397, Some-college,10, Sales,0,0,35, <=50K
8988, Private,177905, HS-grad,9, Handlers-cleaners,3908,0,40, <=50K
8989, Private,204374, Prof-school,15, Prof-specialty,0,1977,60, >50K
8990, Private,60001, Bachelors,13, Sales,0,0,44, >50K
8991, Private,223046, HS-grad,9, Transport-moving,0,0,60, <=50K
8992, ?,44921, HS-grad,9, ?,0,0,40, <=50K
8993, Private,154571, Some-college,10, Adm-clerical,0,0,20, <=50K
8994, Private,67136, Assoc-voc,11, Adm-clerical,0,0,40, <=50K
8995, Private,188675, Some-college,10, Craft-repair,0,0,40, >50K
8996, Private,390817, 5th-6th,3, Handlers-cleaners,0,0,25, <=50K
8997, ?,145964, Some-college,10, ?,0,0,40, <=50K
8998, Private,30424, 11th,7, Other-service,0,0,38, <=50K
8999, Private,548361, HS-grad,9, Craft-repair,0,0,40, <=50K
9000, Private,189148, HS-grad,9, Handlers-cleaners,0,0,48, <=50K
9001, Self-emp-not-inc,266707, 1st-4th,2, Transport-moving,0,2179,18, <=50K
9002, Self-emp-not-inc,311569, HS-grad,9, Sales,0,0,40, <=50K
9003, Private,187653, HS-grad,9, Handlers-cleaners,0,0,48, <=50K
9004, Private,235379, Assoc-acdm,12, Prof-specialty,0,0,36, <=50K
9005, Private,188615, Some-college,10, Craft-repair,0,0,40, >50K
9006, Private,322691, Bachelors,13, Machine-op-inspct,0,0,40, >50K
9007, Private,184698, 10th,6, Machine-op-inspct,0,0,40, <=50K
9008, Private,144361, HS-grad,9, Craft-repair,0,0,40, <=50K
9009, Private,130057, Bachelors,13, Exec-managerial,0,0,45, >50K
9010, Self-emp-inc,117963, Doctorate,16, Prof-specialty,0,0,40, <=50K
9011, Private,123876, Some-college,10, Other-service,0,0,20, <=50K
9012, Private,248445, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
9013, Private,207172, Some-college,10, Sales,0,0,40, <=50K
9014, State-gov,119904, Prof-school,15, Prof-specialty,0,1564,55, >50K
9015, Private,134768, HS-grad,9, Transport-moving,0,0,40, >50K
9016, Local-gov,269168, HS-grad,9, Other-service,0,0,40, <=50K
9017, Private,132026, Bachelors,13, Sales,7688,0,45, >50K
9018, Private,60722, Some-college,10, Exec-managerial,0,0,40, >50K
9019, Private,648223, 1st-4th,2, Farming-fishing,0,0,40, <=50K
9020, Private,298695, 7th-8th,4, Machine-op-inspct,0,0,48, <=50K
9021, Private,219835, Some-college,10, Handlers-cleaners,0,0,30, <=50K
9022, Self-emp-not-inc,313729, Bachelors,13, Sales,0,0,60, >50K
9023, Private,140644, HS-grad,9, Sales,0,0,50, >50K
9024, Private,203488, Some-college,10, Machine-op-inspct,0,0,40, >50K
9025, Self-emp-not-inc,132341, HS-grad,9, Exec-managerial,0,0,45, >50K
9026, Private,161683, 11th,7, Machine-op-inspct,0,0,42, <=50K
9027, Private,312771, Assoc-voc,11, Sales,0,0,40, >50K
9028, Private,258102, Some-college,10, Handlers-cleaners,0,0,50, <=50K
9029, ?,24127, Bachelors,13, ?,0,0,8, <=50K
9030, Private,254367, Some-college,10, Exec-managerial,0,0,50, >50K
9031, ?,185426, HS-grad,9, ?,0,0,15, <=50K
9032, Private,152629, HS-grad,9, Craft-repair,0,0,40, >50K
9033, Local-gov,141058, HS-grad,9, Exec-managerial,0,0,65, <=50K
9034, Private,233130, Some-college,10, Craft-repair,0,0,40, >50K
9035, Private,406641, HS-grad,9, Adm-clerical,0,0,30, <=50K
9036, State-gov,119422, 10th,6, Adm-clerical,0,0,40, <=50K
9037, Private,255486, HS-grad,9, Other-service,0,0,25, <=50K
9038, Private,161532, Some-college,10, Handlers-cleaners,0,0,35, <=50K
9039, Private,75759, HS-grad,9, Transport-moving,0,0,44, >50K
9040, Private,163332, HS-grad,9, Sales,0,0,22, <=50K
9041, Private,103802, Bachelors,13, Exec-managerial,0,1408,40, <=50K
9042, Private,34832, Bachelors,13, Tech-support,15024,0,40, >50K
9043, Private,37933, HS-grad,9, Other-service,0,0,48, <=50K
9044, Private,165107, Some-college,10, Priv-house-serv,0,0,40, <=50K
9045, Private,126011, Assoc-voc,11, Tech-support,0,0,40, <=50K
9046, Federal-gov,56651, Bachelors,13, Prof-specialty,0,0,40, <=50K
9047, Private,522881, 5th-6th,3, Other-service,0,0,35, <=50K
9048, Private,191777, Assoc-voc,11, Exec-managerial,0,0,35, <=50K
9049, Private,132686, 12th,8, Machine-op-inspct,0,0,50, <=50K
9050, Private,201112, HS-grad,9, Prof-specialty,0,0,40, <=50K
9051, Private,174283, HS-grad,9, Craft-repair,0,0,40, >50K
9052, Private,208591, Bachelors,13, Prof-specialty,0,0,40, <=50K
9053, Private,126399, HS-grad,9, Sales,0,0,32, <=50K
9054, Private,142073, HS-grad,9, Exec-managerial,0,0,55, <=50K
9055, Private,395567, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
9056, Private,180455, Bachelors,13, Other-service,0,0,8, <=50K
9057, Private,235853, 9th,5, Sales,0,0,40, <=50K
9058, Private,160731, Bachelors,13, Prof-specialty,0,0,40, <=50K
9059, State-gov,31935, Some-college,10, Tech-support,0,0,80, <=50K
9060, Private,35166, Prof-school,15, Prof-specialty,15024,0,50, >50K
9061, Private,161092, Some-college,10, Adm-clerical,7298,0,40, >50K
9062, Private,223019, HS-grad,9, Adm-clerical,0,0,40, <=50K
9063, Self-emp-not-inc,179673, Prof-school,15, Prof-specialty,7688,0,60, >50K
9064, State-gov,248895, Bachelors,13, Exec-managerial,0,0,40, >50K
9065, Private,200323, Prof-school,15, Prof-specialty,0,0,60, <=50K
9066, Private,230020, HS-grad,9, Craft-repair,0,0,40, <=50K
9067, Private,134890, Assoc-voc,11, Farming-fishing,0,0,40, >50K
9068, Private,162096, 9th,5, Machine-op-inspct,0,0,45, <=50K
9069, Private,103824, HS-grad,9, Other-service,0,0,40, <=50K
9070, State-gov,61431, 12th,8, Adm-clerical,0,0,40, <=50K
9071, Private,197319, Bachelors,13, Exec-managerial,0,0,45, >50K
9072, Private,183618, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
9073, Self-emp-not-inc,268598, Bachelors,13, Exec-managerial,7298,0,50, >50K
9074, Private,263729, Some-college,10, Adm-clerical,0,0,40, <=50K
9075, Private,39493, Assoc-voc,11, Transport-moving,0,0,20, <=50K
9076, Private,185360, HS-grad,9, Sales,0,0,60, <=50K
9077, Private,132661, Assoc-voc,11, Adm-clerical,0,0,60, <=50K
9078, Private,266400, Some-college,10, Prof-specialty,0,0,48, <=50K
9079, Private,433669, Assoc-acdm,12, Adm-clerical,0,0,40, <=50K
9080, Self-emp-inc,216473, Bachelors,13, Exec-managerial,0,0,60, >50K
9081, Self-emp-not-inc,217404, 10th,6, Machine-op-inspct,0,0,40, <=50K
9082, Private,227778, Assoc-voc,11, Other-service,0,0,40, <=50K
9083, State-gov,96262, HS-grad,9, Adm-clerical,0,0,40, <=50K
9084, Private,247566, HS-grad,9, Protective-serv,0,0,24, <=50K
9085, Private,139616, Bachelors,13, Exec-managerial,0,0,45, >50K
9086, Private,73585, Assoc-voc,11, Craft-repair,0,0,40, <=50K
9087, Private,37869, Some-college,10, Machine-op-inspct,0,1590,40, <=50K
9088, Private,165814, HS-grad,9, Other-service,0,0,40, <=50K
9089, Private,108913, HS-grad,9, Other-service,0,0,40, <=50K
9090, Private,34975, Some-college,10, Exec-managerial,0,0,45, <=50K
9091, Private,157078, 10th,6, Adm-clerical,0,0,40, <=50K
9092, Private,232672, Masters,14, Exec-managerial,0,0,40, >50K
9093, Private,294295, HS-grad,9, Adm-clerical,0,0,40, <=50K
9094, Self-emp-inc,130454, Some-college,10, Exec-managerial,0,0,50, >50K
9095, Local-gov,461678, 10th,6, Other-service,0,0,40, <=50K
9096, State-gov,252284, Some-college,10, Protective-serv,0,0,40, <=50K
9097, Private,256737, 11th,7, Transport-moving,0,0,40, <=50K
9098, Local-gov,96480, Masters,14, Prof-specialty,0,0,40, <=50K
9099, Private,234263, Bachelors,13, Sales,0,0,40, <=50K
9100, Private,109952, 10th,6, Machine-op-inspct,0,0,50, <=50K
9101, Private,262570, HS-grad,9, Machine-op-inspct,0,0,40, <=50K
9102, Self-emp-not-inc,65716, Assoc-acdm,12, Adm-clerical,0,0,40, >50K
9103, Private,201732, Some-college,10, Adm-clerical,0,0,40, <=50K
9104, Self-emp-not-inc,174788, Some-college,10, Sales,0,0,20, <=50K
9105, Private,278924, Bachelors,13, Farming-fishing,0,0,40, <=50K
9106, Private,101593, Masters,14, Exec-managerial,0,0,50, >50K
9107, ?,193863, 7th-8th,4, ?,0,0,16, <=50K
9108, Private,342768, HS-grad,9, Craft-repair,0,0,40, <=50K
9109, Self-emp-not-inc,242606, Masters,14, Sales,4386,0,45, >50K
9110, State-gov,176727, Bachelors,13, Prof-specialty,0,0,40, <=50K
9111, Private,99179, Bachelors,13, Prof-specialty,0,0,40, <=50K
9112, State-gov,354104, Some-college,10, Prof-specialty,0,0,10, <=50K
9113, Private,61956, Some-college,10, Transport-moving,0,0,50, <=50K
9114, Federal-gov,137917, Some-college,10, Adm-clerical,0,0,40, >50K
9115, Private,224658, Some-college,10, Sales,0,0,40, <=50K
9116, Private,51100, Bachelors,13, Exec-managerial,3325,0,40, <=50K
9117, Private,224361, HS-grad,9, Other-service,0,0,40, <=50K
9118, Private,362912, Some-college,10, Craft-repair,0,0,50, <=50K
9119, Private,218782, 10th,6, Handlers-cleaners,0,0,40, <=50K
9120, Private,103389, Masters,14, Sales,0,0,40, <=50K
9121, Private,308944, HS-grad,9, Craft-repair,0,0,40, <=50K
9122, Private,140092, 11th,7, Craft-repair,0,0,40, <=50K
9123, Private,202210, HS-grad,9, Other-service,0,0,40, <=50K
9124, Private,416059, Bachelors,13, Prof-specialty,0,0,40, >50K
9125, Self-emp-not-inc,281030, HS-grad,9, Farming-fishing,0,0,94, <=50K
9126, Private,169758, Some-college,10, Sales,0,0,35, <=50K
9127, Private,193666, Doctorate,16, Prof-specialty,20051,0,55, >50K
9128, Private,139907, 10th,6, Handlers-cleaners,0,0,50, <=50K
9129, Self-emp-inc,119422, HS-grad,9, Other-service,0,0,30, <=50K
9130, Private,149324, Some-college,10, Craft-repair,0,1485,40, >50K
9131, Private,259307, Masters,14, Exec-managerial,0,0,50, >50K
9132, Self-emp-not-inc,74160, Masters,14, Prof-specialty,0,0,60, >50K
9133, Private,134797, Some-college,10, Adm-clerical,0,0,40, <=50K
9134, State-gov,41103, Some-college,10, Other-service,0,0,20, <=50K
9135, Local-gov,193026, HS-grad,9, Craft-repair,0,0,50, >50K
9136, Private,303986, 5th-6th,3, Other-service,0,0,40, <=50K
9137, Private,126569, Some-college,10, Sales,4064,0,40, <=50K
9138, Private,166461, 11th,7, Sales,0,0,26, <=50K
9139, ?,61387, Bachelors,13, ?,0,0,15, <=50K
9140, Private,254746, Assoc-voc,11, Adm-clerical,0,0,40, <=50K
9141, ?,28678, Masters,14, ?,9386,0,6, >50K
9142, ?,180976, 10th,6, ?,0,0,35, <=50K
9143, Private,282642, HS-grad,9, Handlers-cleaners,0,2174,40, >50K
9144, Self-emp-not-inc,136413, 7th-8th,4, Farming-fishing,0,0,48, <=50K
9145, Private,131463, Bachelors,13, Prof-specialty,0,0,40, <=50K
9146, Local-gov,177240, Prof-school,15, Prof-specialty,10520,0,40, >50K
9147, Private,218490, Masters,14, Exec-managerial,0,0,55, >50K
9148, ?,260543, 10th,6, ?,0,0,1, <=50K
9149, ?,80680, HS-grad,9, ?,0,0,40, <=50K
9150, Private,20728, HS-grad,9, Sales,4101,0,40, <=50K
9151, Federal-gov,117628, HS-grad,9, Craft-repair,0,0,40, >50K
9152, Private,91939, HS-grad,9, Adm-clerical,0,1721,30, <=50K
9153, State-gov,175931, HS-grad,9, Protective-serv,0,0,40, <=50K
9154, Private,309566, HS-grad,9, Adm-clerical,0,0,20, <=50K
9155, Private,123703, HS-grad,9, Transport-moving,0,0,40, <=50K
9156, ?,369678, HS-grad,9, ?,0,0,30, <=50K
9157, Private,29928, Some-college,10, Sales,0,0,36, <=50K
9158, Private,167868, HS-grad,9, Sales,0,0,30, <=50K
9159, Private,235894, 11th,7, Exec-managerial,0,0,55, <=50K
9160, Private,189888, HS-grad,9, Handlers-cleaners,3325,0,60, <=50K
9161, Private,111545, HS-grad,9, Craft-repair,0,0,70, <=50K
9162, Private,175972, Some-college,10, Other-service,0,0,15, <=50K
9163, Local-gov,254270, Bachelors,13, Prof-specialty,0,0,40, <=50K
9164, Local-gov,185057, Masters,14, Prof-specialty,0,0,40, <=50K
9165, Private,157593, Bachelors,13, Sales,1455,0,6, <=50K
9166, Private,101345, HS-grad,9, Other-service,0,0,40, >50K
9167, Local-gov,176751, Bachelors,13, Prof-specialty,0,1902,40, >50K
9168, Self-emp-not-inc,97723, Assoc-voc,11, Craft-repair,0,0,40, <=50K
9169, Private,127601, Some-college,10, Exec-managerial,0,0,40, >50K
9170, Private,227597, Some-college,10, Craft-repair,0,0,40, <=50K
9171, ?,143995, Some-college,10, ?,0,0,20, <=50K
9172, Private,250051, Some-college,10, Prof-specialty,0,0,10, <=50K
9173, Private,284078, Some-college,10, Adm-clerical,0,0,40, <=50K
9174, Private,207668, Some-college,10, Handlers-cleaners,0,1887,40, >50K
9175, Private,163787, Some-college,10, Sales,0,0,15, <=50K
9176, Private,119170, 11th,7, Exec-managerial,0,0,45, <=50K
9177, Private,188612, Some-college,10, Adm-clerical,0,0,38, <=50K
9178, Private,114605, Assoc-voc,11, Adm-clerical,0,0,40, >50K
9179, ?,317761, Bachelors,13, ?,0,0,40, <=50K
9180, Private,164197, Bachelors,13, Exec-managerial,0,0,60, >50K
9181, Private,329266, HS-grad,9, Craft-repair,0,0,44, >50K
9182, Local-gov,207383, Masters,14, Prof-specialty,0,0,40, <=50K
9183, Private,123598, Some-college,10, Sales,0,0,48, >50K
9184, Private,259931, 11th,7, Machine-op-inspct,0,0,30, <=50K
9185, Private,134737, Bachelors,13, Prof-specialty,99999,0,50, >50K
9186, Private,106900, Assoc-voc,11, Tech-support,0,0,40, <=50K
9187, Private,87054, HS-grad,9, Craft-repair,0,0,50, <=50K
9188, Private,82622, Some-college,10, Other-service,0,0,40, >50K
9189, Private,181659, HS-grad,9, Machine-op-inspct,0,0,40, <=50K
9190, Private,321205, Bachelors,13, Exec-managerial,4101,0,35, <=50K
9191, Self-emp-not-inc,231348, Some-college,10, Other-service,0,0,40, >50K
9192, Private,276096, HS-grad,9, Machine-op-inspct,0,0,40, <=50K
9193, Private,290560, Some-college,10, Exec-managerial,0,0,45, <=50K
9194, Private,307315, Some-college,10, Adm-clerical,0,0,40, <=50K
9195, State-gov,99156, Doctorate,16, Prof-specialty,0,0,50, >50K
9196, Private,237928, Bachelors,13, Prof-specialty,0,0,39, <=50K
9197, Private,153501, HS-grad,9, Transport-moving,0,0,40, <=50K
9198, ?,149700, Bachelors,13, ?,0,0,36, >50K
9199, Private,189680, Bachelors,13, Sales,0,1977,40, >50K
9200, Private,374524, Prof-school,15, Prof-specialty,0,0,75, >50K
9201, Self-emp-not-inc,127805, 7th-8th,4, Transport-moving,0,0,40, >50K
9202, Private,150217, Bachelors,13, Other-service,0,0,24, <=50K
9203, Private,295649, HS-grad,9, Other-service,0,0,40, <=50K
9204, Private,197182, Assoc-acdm,12, Prof-specialty,0,0,40, <=50K
9205, Private,241998, Bachelors,13, Tech-support,0,0,50, >50K
9206, Federal-gov,156410, HS-grad,9, Adm-clerical,0,0,50, >50K
9207, Private,473836, 7th-8th,4, Farming-fishing,0,0,45, <=50K
9208, Private,198431, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
9209, Private,113936, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
9210, Private,318915, HS-grad,9, Other-service,0,0,40, <=50K
9211, Self-emp-not-inc,175406, Masters,14, Exec-managerial,0,0,30, >50K
9212, ?,193172, Assoc-voc,11, ?,7688,0,50, >50K
9213, Federal-gov,320294, HS-grad,9, Prof-specialty,0,0,40, <=50K
9214, State-gov,400285, HS-grad,9, Adm-clerical,0,0,40, >50K
9215, ?,283731, Bachelors,13, ?,0,0,40, <=50K
9216, Local-gov,227154, Bachelors,13, Craft-repair,0,0,40, <=50K
9217, Private,298659, HS-grad,9, Sales,0,0,15, <=50K
9218, Private,212120, Bachelors,13, Exec-managerial,0,0,45, >50K
9219, Private,320510, Bachelors,13, Exec-managerial,0,1902,40, >50K
9220, Private,175800, HS-grad,9, Prof-specialty,0,0,55, <=50K
9221, Private,170169, HS-grad,9, Adm-clerical,0,0,40, <=50K
9222, Private,344157, 11th,7, Handlers-cleaners,0,0,40, <=50K
9223, Private,199441, HS-grad,9, Prof-specialty,0,0,40, <=50K
9224, Private,225456, HS-grad,9, Tech-support,0,0,50, <=50K
9225, Private,61178, 11th,7, Craft-repair,0,0,40, <=50K
9226, Local-gov,175262, Assoc-acdm,12, Protective-serv,0,2002,40, <=50K
9227, Private,152568, HS-grad,9, Sales,0,0,40, <=50K
9228, Private,182108, Masters,14, Prof-specialty,27828,0,35, >50K
9229, Private,273771, Bachelors,13, Sales,99999,0,40, >50K
9230, Private,208291, HS-grad,9, Sales,0,0,50, <=50K
9231, Private,224358, 10th,6, Other-service,0,0,40, <=50K
9232, Private,55176, 7th-8th,4, Craft-repair,0,0,40, <=50K
9233, State-gov,152711, Bachelors,13, Exec-managerial,0,0,40, >50K
9234, Private,68684, HS-grad,9, Transport-moving,0,0,40, <=50K
9235, Private,185452, Bachelors,13, Tech-support,0,0,50, <=50K
9236, Federal-gov,175232, Some-college,10, Handlers-cleaners,0,1977,60, >50K
9237, Private,173851, Some-college,10, Craft-repair,0,0,40, <=50K
9238, Private,162327, Bachelors,13, Adm-clerical,0,1902,50, >50K
9239, Local-gov,51424, HS-grad,9, Adm-clerical,0,0,40, <=50K
9240, Private,123416, 12th,8, Prof-specialty,1055,0,40, <=50K
9241, Private,262656, HS-grad,9, Adm-clerical,0,0,40, <=50K
9242, Private,233194, HS-grad,9, Sales,0,0,40, >50K
9243, Private,290660, Bachelors,13, Craft-repair,7688,0,55, >50K
9244, Private,151105, Some-college,10, Sales,0,0,18, <=50K
9245, Private,179117, Assoc-acdm,12, Machine-op-inspct,10520,0,50, >50K
9246, ?,33608, Some-college,10, ?,9386,0,30, >50K
9247, Private,317434, HS-grad,9, Craft-repair,0,0,40, <=50K
9248, State-gov,126569, HS-grad,9, Craft-repair,7298,0,40, >50K
9249, Local-gov,745768, Some-college,10, Exec-managerial,0,0,45, <=50K
9250, Private,69927, HS-grad,9, Other-service,0,0,16, <=50K
9251, Private,302603, HS-grad,9, Transport-moving,0,0,45, <=50K
9252, Private,46788, Bachelors,13, Craft-repair,0,0,25, <=50K
9253, Private,289886, 5th-6th,3, Other-service,0,1579,40, <=50K
9254, Private,179135, HS-grad,9, Adm-clerical,0,0,40, <=50K
9255, Federal-gov,175873, Some-college,10, Adm-clerical,0,0,40, >50K
9256, Private,57426, Bachelors,13, Sales,0,0,45, <=50K
9257, Private,312206, HS-grad,9, Machine-op-inspct,0,0,40, <=50K
9258, Without-pay,344858, HS-grad,9, Farming-fishing,0,0,20, <=50K
9259, State-gov,177035, 11th,7, Other-service,0,0,40, <=50K
9260, Private,88055, 10th,6, Transport-moving,0,0,40, <=50K
9261, Self-emp-not-inc,111095, HS-grad,9, Exec-managerial,0,0,50, <=50K
9262, Private,192251, 10th,6, Other-service,0,0,60, <=50K
9263, Private,29807, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
9264, Federal-gov,211596, Masters,14, Prof-specialty,0,0,40, <=50K
9265, Private,268276, 12th,8, Other-service,0,0,12, <=50K
9266, Self-emp-not-inc,181070, HS-grad,9, Sales,0,0,40, >50K
9267, Local-gov,20676, HS-grad,9, Exec-managerial,0,0,48, <=50K
9268, Private,115803, 11th,7, Transport-moving,0,0,40, <=50K
9269, Local-gov,124827, Some-college,10, Exec-managerial,0,0,40, >50K
9270, Private,95336, HS-grad,9, Tech-support,0,0,45, >50K
9271, Private,257942, HS-grad,9, Sales,0,0,40, <=50K
9272, Private,72593, HS-grad,9, Other-service,0,0,40, <=50K
9273, Private,147340, Some-college,10, Sales,0,0,40, <=50K
9274, Private,185325, Bachelors,13, Prof-specialty,0,0,50, >50K
9275, Self-emp-not-inc,357943, Bachelors,13, Exec-managerial,0,0,40, >50K
9276, Private,215395, Some-college,10, Other-service,0,1602,10, <=50K
9277, Local-gov,30682, Masters,14, Prof-specialty,0,0,50, <=50K
9278, Federal-gov,29591, Bachelors,13, Prof-specialty,0,0,40, <=50K
9279, Private,215392, Bachelors,13, Tech-support,0,0,40, <=50K
9280, Private,110554, HS-grad,9, Machine-op-inspct,4386,0,40, >50K
9281, Self-emp-not-inc,133584, Some-college,10, Craft-repair,0,0,40, <=50K
9282, Private,210438, 7th-8th,4, Sales,0,0,40, <=50K
9283, Private,256916, HS-grad,9, Exec-managerial,0,0,40, <=50K
9284, Private,73541, 10th,6, Craft-repair,0,0,40, <=50K
9285, Private,109952, Some-college,10, Craft-repair,0,0,60, <=50K
9286, Private,197975, 5th-6th,3, Sales,0,0,51, <=50K
9287, Private,401723, HS-grad,9, Adm-clerical,0,0,40, <=50K
9288, Private,179524, Bachelors,13, Other-service,0,0,50, <=50K
9289, State-gov,296282, HS-grad,9, Craft-repair,0,0,40, <=50K
9290, Private,145844, Assoc-acdm,12, Exec-managerial,0,0,50, <=50K
9291, Private,191965, 11th,7, Other-service,3908,0,28, <=50K
9292, Private,96792, HS-grad,9, Other-service,0,0,32, <=50K
